Gene,Contrast,Estimate,Pr(>|t|),FDR
RCN2,Brain - Breast,-1.903678033,0.177749931,0.745730857
S100A10,Brain - Breast,-1.083490151,0.170593959,0.745730857
SLC1A4,Brain - Breast,-2.039300751,0.198808641,0.745730857
SOAT1,Brain - Breast,-2.20705626,0.196575696,0.745730857
SP100,Brain - Breast,-1.442689023,0.174813688,0.745730857
SSB,Brain - Breast,2.001661002,0.180541292,0.745730857
TGFB3,Brain - Breast,-2.249563617,0.19876668,0.745730857
TYROBP,Brain - Breast,-1.077635422,0.175199788,0.745730857
ZNF207,Brain - Breast,0.942741008,0.186077402,0.745730857
KMT2D,Brain - Breast,-2.216735245,0.19223579,0.745730857
TNFSF10,Brain - Breast,-1.568823771,0.179551906,0.745730857
GMPS,Brain - Breast,1.949259023,0.166047085,0.745730857
IER3,Brain - Breast,-2.048475192,0.177353622,0.745730857
SELENBP1,Brain - Breast,1.865136232,0.167896071,0.745730857
FCER1G,Brain - Breast,-1.253772175,0.198493021,0.745730857
OAZ1,Brain - Breast,-0.267455137,0.167999255,0.745730857
PMPCB,Brain - Breast,-2.061190727,0.180826917,0.745730857
COPA,Brain - Breast,1.156822362,0.166295009,0.745730857
DUSP5,Brain - Breast,-1.521805929,0.173827632,0.745730857
EGR3,Brain - Breast,-2.072019742,0.175055741,0.745730857
FRG1,Brain - Breast,-2.325983527,0.175739515,0.745730857
GPS2,Brain - Breast,-1.619185786,0.187096418,0.745730857
NDUFA1,Brain - Breast,-1.001247257,0.193934837,0.745730857
NDUFB1,Brain - Breast,0.952895551,0.190726044,0.745730857
NMI,Brain - Breast,-1.749743462,0.178790145,0.745730857
SYNGR2,Brain - Breast,-1.366665107,0.194990721,0.745730857
MED26,Brain - Breast,-2.353517605,0.195611987,0.745730857
PGGT1B,Brain - Breast,-2.128179732,0.198114022,0.745730857
PIK3CD,Brain - Breast,-2.395664816,0.197313356,0.745730857
ZMYM4,Brain - Breast,-1.863790685,0.174555125,0.745730857
GRK3,Brain - Breast,-2.378886909,0.169211177,0.745730857
ATP5F1C,Brain - Breast,-1.739471194,0.165557105,0.745730857
NR2F6,Brain - Breast,2.112070411,0.170705266,0.745730857
ZRANB2,Brain - Breast,0.891594314,0.188563554,0.745730857
INSIG1,Brain - Breast,-1.881789559,0.168848718,0.745730857
CAPN15,Brain - Breast,-1.467823312,0.187939763,0.745730857
ARPC1B,Brain - Breast,0.708094271,0.192686021,0.745730857
HIPK3,Brain - Breast,-1.653517739,0.185479517,0.745730857
FLOT1,Brain - Breast,0.33156754,0.185833413,0.745730857
PSMD14,Brain - Breast,-1.716063425,0.187565325,0.745730857
BCKDK,Brain - Breast,-1.656904175,0.174348253,0.745730857
TSNAX,Brain - Breast,-1.429332859,0.181983448,0.745730857
UCHL3,Brain - Breast,-2.303739716,0.176798963,0.745730857
TAX1BP1,Brain - Breast,-1.456083178,0.198710056,0.745730857
PDE4D,Brain - Breast,-1.196522335,0.198748187,0.745730857
PIN1,Brain - Breast,0.847879701,0.193887,0.745730857
PRKCH,Brain - Breast,-1.5582771,0.176691707,0.745730857
ANP32A,Brain - Breast,-1.692246948,0.198860049,0.745730857
FBLN5,Brain - Breast,-2.063196837,0.167687754,0.745730857
VAT1,Brain - Breast,-2.138347652,0.187558533,0.745730857
PRDX4,Brain - Breast,-1.002440528,0.167876723,0.745730857
IFI44,Brain - Breast,2.228518388,0.166485049,0.745730857
RABAC1,Brain - Breast,-1.115040735,0.188348596,0.745730857
MTX2,Brain - Breast,-1.912900423,0.173543344,0.745730857
HSPA8,Brain - Breast,-0.301129668,0.173391869,0.745730857
MAP3K2,Brain - Breast,-1.836394637,0.183923852,0.745730857
MTHFD2,Brain - Breast,-1.729322186,0.171538568,0.745730857
CLPX,Brain - Breast,-1.77354274,0.177407966,0.745730857
USP19,Brain - Breast,1.841566389,0.188461172,0.745730857
ZBTB33,Brain - Breast,-1.598089066,0.172233001,0.745730857
SRSF1,Brain - Breast,-0.307345378,0.183079686,0.745730857
SOX12,Brain - Breast,2.049080475,0.190835165,0.745730857
NDUFV1,Brain - Breast,1.540121025,0.168791132,0.745730857
CA5B,Brain - Breast,-2.366365435,0.186450137,0.745730857
KLRK1,Brain - Breast,-2.475807469,0.187590394,0.745730857
DDX42,Brain - Breast,1.996970607,0.192456293,0.745730857
TRAM2,Brain - Breast,-1.449699914,0.188830322,0.745730857
KDM2A,Brain - Breast,-1.485945551,0.180303262,0.745730857
NFATC2,Brain - Breast,-2.155369898,0.17177553,0.745730857
H2AZ2,Brain - Breast,-1.686212865,0.17050791,0.745730857
PCSK1N,Brain - Breast,2.673504234,0.166007611,0.745730857
CPSF1,Brain - Breast,-1.768901935,0.19218124,0.745730857
BLNK,Brain - Breast,-2.327150095,0.191468065,0.745730857
DNAJC8,Brain - Breast,-1.605185453,0.166322919,0.745730857
LAMP3,Brain - Breast,-2.674327788,0.177562895,0.745730857
CACNG4,Brain - Breast,2.452140108,0.188109052,0.745730857
MEA1,Brain - Breast,-1.525812543,0.178198935,0.745730857
PLEKHM1,Brain - Breast,-1.16200962,0.197348697,0.745730857
DDX46,Brain - Breast,-2.230271368,0.191610765,0.745730857
WASHC5,Brain - Breast,-1.908292781,0.197071332,0.745730857
ATG14,Brain - Breast,-1.255603504,0.175550519,0.745730857
PRRC2C,Brain - Breast,-1.964967216,0.16714412,0.745730857
TIPARP,Brain - Breast,2.414375692,0.187634925,0.745730857
OSBPL3,Brain - Breast,-1.621472511,0.193412015,0.745730857
IER3IP1,Brain - Breast,-1.434697274,0.173610783,0.745730857
ZFR,Brain - Breast,-2.188615536,0.176393056,0.745730857
MRTO4,Brain - Breast,-1.598759937,0.196790868,0.745730857
AMOTL2,Brain - Breast,1.886655969,0.168165256,0.745730857
ANAPC7,Brain - Breast,-1.551517334,0.19260819,0.745730857
AKAP11,Brain - Breast,-1.806942166,0.175278987,0.745730857
TAOK3,Brain - Breast,-1.575096567,0.19672549,0.745730857
CRBN,Brain - Breast,-1.715018642,0.172447519,0.745730857
CWC15,Brain - Breast,-1.476401787,0.175296653,0.745730857
BFAR,Brain - Breast,-2.200617777,0.176689903,0.745730857
SLC15A3,Brain - Breast,-2.225350167,0.167842986,0.745730857
GYPC,Brain - Breast,-1.239187514,0.178220458,0.745730857
RNF111,Brain - Breast,-1.941344238,0.180304748,0.745730857
NPLOC4,Brain - Breast,1.507450391,0.185025463,0.745730857
ANO1,Brain - Breast,2.669578488,0.198341217,0.745730857
HELLS,Brain - Breast,-2.659824931,0.177877709,0.745730857
FAIM,Brain - Breast,-1.887593487,0.189952701,0.745730857
INAVA,Brain - Breast,-1.43974131,0.179630861,0.745730857
BDP1,Brain - Breast,2.143763738,0.19215064,0.745730857
SH3TC1,Brain - Breast,-1.859050654,0.191567989,0.745730857
RNPEP,Brain - Breast,0.983490476,0.198243151,0.745730857
PLXDC1,Brain - Breast,2.211374524,0.180129202,0.745730857
LYRM4,Brain - Breast,-1.889318218,0.185602114,0.745730857
CBX8,Brain - Breast,-2.268374956,0.19076936,0.745730857
UBR4,Brain - Breast,-1.57602798,0.172019361,0.745730857
FNIP2,Brain - Breast,-2.274576278,0.190562822,0.745730857
RAP2A,Brain - Breast,-1.437238505,0.190487843,0.745730857
PPP3CB,Brain - Breast,-1.57229451,0.195535715,0.745730857
RHOU,Brain - Breast,-2.30989724,0.17008568,0.745730857
CDC25B,Brain - Breast,-2.030781894,0.191928144,0.745730857
PPP1R11,Brain - Breast,-1.875957903,0.192388043,0.745730857
RELA,Brain - Breast,-1.842979335,0.172989189,0.745730857
HERPUD2,Brain - Breast,-1.862224348,0.182093315,0.745730857
MTMR14,Brain - Breast,-1.72003859,0.185326225,0.745730857
SUDS3,Brain - Breast,-1.931807418,0.197762013,0.745730857
ACBD3,Brain - Breast,-1.884108678,0.197047689,0.745730857
ZNF574,Brain - Breast,1.006611039,0.167453819,0.745730857
SNURF,Brain - Breast,0.269171721,0.191958161,0.745730857
UPF3A,Brain - Breast,1.559002995,0.19038907,0.745730857
YIPF2,Brain - Breast,-2.456027879,0.196859072,0.745730857
TMEM106C,Brain - Breast,-0.156703093,0.165036589,0.745730857
TAF1D,Brain - Breast,-1.624750197,0.170181336,0.745730857
VTCN1,Brain - Breast,2.447963965,0.176339286,0.745730857
CLMN,Brain - Breast,2.589085674,0.165850204,0.745730857
GPR157,Brain - Breast,-1.823108993,0.169187288,0.745730857
MZT2B,Brain - Breast,-0.308258226,0.187486035,0.745730857
EPC1,Brain - Breast,-0.712552972,0.169370072,0.745730857
TRAF3IP3,Brain - Breast,-0.922236742,0.192696895,0.745730857
GDPD5,Brain - Breast,-2.351364597,0.186653406,0.745730857
URM1,Brain - Breast,1.85370617,0.180085307,0.745730857
HDHD3,Brain - Breast,2.119600374,0.193198099,0.745730857
SF3B5,Brain - Breast,-1.593269275,0.171438761,0.745730857
NBR1,Brain - Breast,-1.80806088,0.18278499,0.745730857
EIF4H,Brain - Breast,-0.318817298,0.165784457,0.745730857
SLC49A3,Brain - Breast,-1.88071723,0.19275032,0.745730857
USP48,Brain - Breast,-2.14005878,0.194719823,0.745730857
POLR3GL,Brain - Breast,-2.052206732,0.193047876,0.745730857
PRAC1,Brain - Breast,-1.678131243,0.175438278,0.745730857
CARD11,Brain - Breast,-1.969349588,0.187867625,0.745730857
RBBP6,Brain - Breast,-2.282745727,0.18227548,0.745730857
AIF1,Brain - Breast,-0.789541694,0.171086592,0.745730857
EAF1,Brain - Breast,-1.651391071,0.181787585,0.745730857
SEC11C,Brain - Breast,-1.893856196,0.195488185,0.745730857
CREB3L1,Brain - Breast,2.468082444,0.180702971,0.745730857
PTPRC,Brain - Breast,-1.776358602,0.189496014,0.745730857
MBNL3,Brain - Breast,-2.236228594,0.175844884,0.745730857
ABHD3,Brain - Breast,-2.487141006,0.189223945,0.745730857
GTF3C6,Brain - Breast,-1.744336195,0.186878302,0.745730857
BCL2L12,Brain - Breast,-2.507211642,0.172988646,0.745730857
MITD1,Brain - Breast,-1.830417615,0.19279938,0.745730857
MAP2K7,Brain - Breast,1.098088178,0.172067539,0.745730857
ERP27,Brain - Breast,-2.258571425,0.182023121,0.745730857
ZNF746,Brain - Breast,-2.031629689,0.169142625,0.745730857
MTIF3,Brain - Breast,-1.634747352,0.182693622,0.745730857
PIGP,Brain - Breast,2.130272366,0.169049553,0.745730857
IFNL1,Brain - Breast,2.113416781,0.167396206,0.745730857
EIF2B4,Brain - Breast,2.05639885,0.191979768,0.745730857
CCDC117,Brain - Breast,1.335815506,0.193079174,0.745730857
KRTCAP2,Brain - Breast,-1.551394876,0.198024302,0.745730857
CBX7,Brain - Breast,-2.26469034,0.197473201,0.745730857
ACTL6A,Brain - Breast,1.726836103,0.190498635,0.745730857
ZNF827,Brain - Breast,-1.913349498,0.165441095,0.745730857
SRPK2,Brain - Breast,-1.807017991,0.188376473,0.745730857
ARRDC4,Brain - Breast,-1.961205221,0.189333035,0.745730857
EBAG9,Brain - Breast,-1.65728738,0.191874596,0.745730857
BSG,Brain - Breast,0.239080967,0.189155618,0.745730857
KRTAP10-3,Brain - Breast,-1.529627413,0.185103048,0.745730857
COPE,Brain - Breast,-1.25198991,0.185551202,0.745730857
EXT2,Brain - Breast,-1.97699422,0.17518098,0.745730857
CDPF1,Brain - Breast,-1.67742442,0.191782826,0.745730857
NBDY,Brain - Breast,-1.92036495,0.188033623,0.745730857
ZNF625,Brain - Breast,-1.709507286,0.17380919,0.745730857
CRLS1,Brain - Breast,-2.107229421,0.193998674,0.745730857
TMEM219,Brain - Breast,-1.878507026,0.175689169,0.745730857
SMIM26,Brain - Breast,1.924975695,0.190828724,0.745730857
COMMD6,Brain - Breast,-1.208962641,0.167925454,0.745730857
EID1,Brain - Breast,-1.15563337,0.184595437,0.745730857
ESRP1,Brain - Breast,1.831249686,0.17196939,0.745730857
ZNF706,Brain - Breast,-1.113020543,0.184113968,0.745730857
CARD16,Brain - Breast,-2.358661016,0.179034931,0.745730857
CARS1,Brain - Breast,2.386438275,0.195863815,0.745730857
CCNB1IP1,Brain - Breast,2.249267829,0.198368922,0.745730857
CD24,Brain - Breast,2.453641731,0.17109757,0.745730857
CMTM7,Brain - Breast,-2.042689546,0.176303346,0.745730857
CTSL,Brain - Breast,-2.089734877,0.165428123,0.745730857
CYBA,Brain - Breast,-0.504494027,0.168440489,0.745730857
DPP7,Brain - Breast,-1.576983295,0.190073023,0.745730857
EVI2A,Brain - Breast,-2.243248138,0.194726887,0.745730857
FKBP10,Brain - Breast,-2.066884244,0.1817851,0.745730857
FKBP1A,Brain - Breast,-0.336349748,0.183733688,0.745730857
GCLM,Brain - Breast,2.176607678,0.183571798,0.745730857
GOLGA6L6,Brain - Breast,-2.351689092,0.18724926,0.745730857
H2AC19,Brain - Breast,-1.129949764,0.169990685,0.745730857
H2BC4,Brain - Breast,-1.194108814,0.196615138,0.745730857
H3C12,Brain - Breast,-2.048507453,0.169865181,0.745730857
H3C6,Brain - Breast,-2.54934348,0.175912997,0.745730857
H4C5,Brain - Breast,-0.30302035,0.198427895,0.745730857
HDGFL3,Brain - Breast,1.181538137,0.198760774,0.745730857
HELZ2,Brain - Breast,2.193559198,0.190452659,0.745730857
KDSR,Brain - Breast,-1.806734742,0.196787688,0.745730857
KIAA0754,Brain - Breast,-2.240688564,0.197222794,0.745730857
LGALS9C,Brain - Breast,-2.046607149,0.181549383,0.745730857
PIGY,Brain - Breast,1.350699088,0.17901164,0.745730857
PQBP1,Brain - Breast,-2.283038655,0.171876362,0.745730857
PRXL2C,Brain - Breast,-2.142312278,0.197135393,0.745730857
SAA2,Brain - Breast,-1.877145091,0.187112694,0.745730857
SMIM10L1,Brain - Breast,-1.736757487,0.19050125,0.745730857
SPATA13,Brain - Breast,-2.322040443,0.17567285,0.745730857
SRSF8,Brain - Breast,-1.934204477,0.17564016,0.745730857
TMEM101,Brain - Breast,-2.236294826,0.193480058,0.745730857
TNFRSF14,Brain - Breast,-2.070052981,0.196309927,0.745730857
UBB,Brain - Breast,-1.555718107,0.173225952,0.745730857
UHRF1,Brain - Breast,-2.048355764,0.171847891,0.745730857
VCPIP1,Brain - Breast,-2.076676397,0.19498073,0.745730857
APOBEC3A_B,Brain - Breast,0.21299192,0.188694399,0.745730857
H2BC5,Brain - Breast,-0.781325816,0.177152559,0.745730857
HNRNPCL3,Brain - Breast,-1.615817043,0.177256297,0.745730857
VTI1B,Brain - Breast,-1.595749154,0.198769607,0.745730857
GLUD1,Brain - Breast,-1.481403523,0.176081148,0.745730857
SSTR4,Brain - Breast,-1.647657354,0.199625943,0.747588485
SAP30,Brain - Breast,-1.97098403,0.19960723,0.747588485
ALG5,Brain - Breast,-1.519378669,0.199774868,0.747588485
NTPCR,Brain - Breast,2.051249729,0.199729694,0.747588485
TPP2,Brain - Breast,-1.703399803,0.200198383,0.747999703
TTYH3,Brain - Breast,0.224131073,0.200100838,0.747999703
MRPL11,Brain - Breast,-1.309152162,0.200043109,0.747999703
PDS5A,Brain - Breast,1.745822014,0.201147557,0.748165569
CIB1,Brain - Breast,-1.532735887,0.200799729,0.748165569
WNT8A,Brain - Breast,-1.511624635,0.200783725,0.748165569
SH3BP2,Brain - Breast,1.502722722,0.200864293,0.748165569
PTBP3,Brain - Breast,-0.674187782,0.200570506,0.748165569
PRKD3,Brain - Breast,-2.115917409,0.201288431,0.748165569
SUB1,Brain - Breast,-0.737352541,0.200988856,0.748165569
RBX1,Brain - Breast,-1.537060979,0.201192241,0.748165569
GLOD4,Brain - Breast,-2.282724977,0.200844884,0.748165569
LIME1,Brain - Breast,-2.224772882,0.20102198,0.748165569
HK1,Brain - Breast,-1.29274366,0.202971275,0.748432417
OPTN,Brain - Breast,-1.057716381,0.203601563,0.748432417
CADPS2,Brain - Breast,2.068262614,0.202760349,0.748432417
FNBP1L,Brain - Breast,1.937554966,0.201874824,0.748432417
AAMP,Brain - Breast,-0.24963431,0.20362107,0.748432417
CTCF,Brain - Breast,2.146740658,0.203376699,0.748432417
NFIC,Brain - Breast,1.277238833,0.202741566,0.748432417
RCC1,Brain - Breast,-2.100800068,0.201714549,0.748432417
SMPDL3A,Brain - Breast,2.203525503,0.203275286,0.748432417
EP300,Brain - Breast,-1.67998945,0.20356494,0.748432417
GOLGA1,Brain - Breast,-2.428569075,0.203207536,0.748432417
MFNG,Brain - Breast,-2.046613109,0.20362116,0.748432417
SRI,Brain - Breast,-1.061832614,0.203244589,0.748432417
SEC62,Brain - Breast,-1.321049483,0.203940396,0.748432417
PHLDA2,Brain - Breast,2.342504584,0.203483798,0.748432417
ECM1,Brain - Breast,-2.273657102,0.202456219,0.748432417
MMP2,Brain - Breast,-1.54958547,0.203908721,0.748432417
NCAM2,Brain - Breast,2.296017828,0.201885965,0.748432417
FKBP15,Brain - Breast,-2.018551415,0.203975292,0.748432417
TERF2IP,Brain - Breast,-1.493258382,0.203296892,0.748432417
KMT5A,Brain - Breast,1.745464749,0.20375337,0.748432417
SPATS2,Brain - Breast,-2.038270907,0.201714043,0.748432417
LBHD1,Brain - Breast,-1.206243999,0.203428509,0.748432417
SPATA2L,Brain - Breast,-0.226338688,0.201741839,0.748432417
UBXN1,Brain - Breast,1.395092815,0.203458524,0.748432417
TRIM21,Brain - Breast,-2.251534418,0.204717964,0.748470636
RAPGEF1,Brain - Breast,-1.678336197,0.204501376,0.748470636
SLC30A9,Brain - Breast,-2.361219236,0.204681006,0.748470636
MAST2,Brain - Breast,2.315572957,0.204583501,0.748470636
TRIM37,Brain - Breast,-2.581271287,0.204341908,0.748470636
CCDC25,Brain - Breast,-2.073103773,0.204463298,0.748470636
MT1M,Brain - Breast,-1.720968742,0.204567459,0.748470636
NR4A2,Brain - Breast,-2.193354373,0.205181649,0.749782787
GSN,Brain - Breast,1.102754267,0.205386245,0.750022317
UBALD1,Brain - Breast,-1.380218312,0.20562824,0.750022317
LSM12,Brain - Breast,-1.464148738,0.205666497,0.750022317
CNTLN,Brain - Breast,-0.736313137,0.205615791,0.750022317
TGFB1,Brain - Breast,-1.604533716,0.211930584,0.750066536
MXI1,Brain - Breast,-1.727886197,0.208233257,0.750066536
LLGL2,Brain - Breast,-2.051190579,0.209378124,0.750066536
SEC14L1,Brain - Breast,-1.284928699,0.21216723,0.750066536
CHTF8,Brain - Breast,-1.759664209,0.207833473,0.750066536
CAST,Brain - Breast,-1.40458718,0.208245237,0.750066536
ADAM10,Brain - Breast,-1.920839114,0.210773943,0.750066536
VAV2,Brain - Breast,2.34724062,0.209334688,0.750066536
MTRNR2L1,Brain - Breast,-1.269060843,0.206517915,0.750066536
MYL6B,Brain - Breast,-1.387921182,0.211194549,0.750066536
DYNC1I2,Brain - Breast,-1.564573728,0.206075702,0.750066536
EMC4,Brain - Breast,-1.321957113,0.20830474,0.750066536
ZDHHC12,Brain - Breast,-1.682248785,0.211772696,0.750066536
ARF6,Brain - Breast,-0.929620586,0.208221665,0.750066536
HPCAL1,Brain - Breast,-1.366639732,0.206566883,0.750066536
NELFE,Brain - Breast,-2.188209845,0.210052326,0.750066536
RPN1,Brain - Breast,-1.094442233,0.210375622,0.750066536
TAGLN2,Brain - Breast,-0.274002049,0.20998237,0.750066536
CREG1,Brain - Breast,-0.955623498,0.208825733,0.750066536
IREB2,Brain - Breast,-1.645499959,0.209733662,0.750066536
TRAF4,Brain - Breast,1.86184601,0.210140776,0.750066536
BNIP2,Brain - Breast,-1.388951684,0.20611801,0.750066536
CCNG2,Brain - Breast,-1.439873341,0.208964732,0.750066536
DOCK2,Brain - Breast,-1.771367637,0.206658307,0.750066536
ITK,Brain - Breast,-2.166489382,0.208315144,0.750066536
PITPNA,Brain - Breast,-1.981779113,0.212117069,0.750066536
SPIN1,Brain - Breast,1.647416489,0.206484927,0.750066536
MAGED1,Brain - Breast,-1.371904407,0.211304957,0.750066536
DNAJC15,Brain - Breast,-1.749101612,0.210066491,0.750066536
SEPTIN6,Brain - Breast,-1.724640033,0.21019769,0.750066536
CSTF2T,Brain - Breast,-1.980347378,0.208894836,0.750066536
SIPA1L1,Brain - Breast,2.195156424,0.208162107,0.750066536
CHTOP,Brain - Breast,1.398908737,0.207021224,0.750066536
DNAJB11,Brain - Breast,-2.018573195,0.210653278,0.750066536
KLF3,Brain - Breast,-1.646611162,0.210185923,0.750066536
UFM1,Brain - Breast,0.651039539,0.210788878,0.750066536
AKIRIN2,Brain - Breast,-1.715775391,0.208625229,0.750066536
RNF220,Brain - Breast,-1.463079187,0.206251235,0.750066536
ITFG2,Brain - Breast,1.908939789,0.208270157,0.750066536
CSGALNACT2,Brain - Breast,-1.382245847,0.208107128,0.750066536
PPIA,Brain - Breast,-0.22204885,0.212280111,0.750066536
POLD4,Brain - Breast,-1.111335567,0.212117201,0.750066536
RPRD1B,Brain - Breast,0.20597488,0.212150491,0.750066536
SNX16,Brain - Breast,-2.146614695,0.206945932,0.750066536
ECHDC3,Brain - Breast,2.216105033,0.21028862,0.750066536
MRPS15,Brain - Breast,-1.706481694,0.211885626,0.750066536
ZNF160,Brain - Breast,-2.007270764,0.210525119,0.750066536
JOSD2,Brain - Breast,-1.323650037,0.210383814,0.750066536
SLC15A4,Brain - Breast,-2.099189184,0.21092353,0.750066536
UBE2E2,Brain - Breast,-1.905142083,0.208339651,0.750066536
APCDD1,Brain - Breast,2.028886363,0.209651324,0.750066536
NEGR1,Brain - Breast,-1.223330882,0.209127664,0.750066536
PSMD13,Brain - Breast,-1.57834364,0.211630664,0.750066536
ADNP,Brain - Breast,0.675820546,0.20854664,0.750066536
FAM111A,Brain - Breast,-1.582551747,0.211227798,0.750066536
MAPK9,Brain - Breast,1.987621249,0.20785939,0.750066536
HSPA5,Brain - Breast,-1.42346969,0.206474945,0.750066536
FAM241A,Brain - Breast,2.371514655,0.206896527,0.750066536
H3C3,Brain - Breast,-1.820564934,0.212282982,0.750066536
LUZP6,Brain - Breast,-1.628697619,0.205810405,0.750066536
XKR6,Brain - Breast,-1.061023292,0.211818243,0.750066536
ZNF888,Brain - Breast,1.430337998,0.210771703,0.750066536
USP17L12,Brain - Breast,-1.407800671,0.211127331,0.750066536
LSG1,Brain - Breast,1.947950911,0.212688549,0.750758049
CHCHD7,Brain - Breast,-1.499747654,0.212638792,0.750758049
C6orf89,Brain - Breast,-1.863591474,0.212949754,0.751309415
HNRNPF,Brain - Breast,-1.335060271,0.214966039,0.751383493
DOCK9,Brain - Breast,-1.726402141,0.2148445,0.751383493
TMEM131L,Brain - Breast,-2.485738955,0.214194739,0.751383493
RUSC1,Brain - Breast,1.715987347,0.214630693,0.751383493
IDH2,Brain - Breast,-1.080070576,0.214059472,0.751383493
PRKAG1,Brain - Breast,-1.663547596,0.213796775,0.751383493
TXNL1,Brain - Breast,1.918634033,0.21360024,0.751383493
CSTA,Brain - Breast,-1.975049205,0.214062992,0.751383493
AP1M2,Brain - Breast,1.829744709,0.213710681,0.751383493
PIK3CB,Brain - Breast,-1.80702152,0.214921231,0.751383493
YWHAE,Brain - Breast,-0.268008496,0.214935278,0.751383493
MRPL19,Brain - Breast,-2.416949011,0.214215132,0.751383493
UBN1,Brain - Breast,1.802024991,0.214906401,0.751383493
G2E3,Brain - Breast,-1.955172224,0.213232045,0.751383493
SGF29,Brain - Breast,1.428106432,0.21458485,0.751383493
FIP1L1,Brain - Breast,-1.993304573,0.214746442,0.751383493
RIDA,Brain - Breast,2.128792054,0.21354512,0.751383493
IFRD1,Brain - Breast,1.970379266,0.213762494,0.751383493
PGAM4,Brain - Breast,-1.166866254,0.214228839,0.751383493
FPGS,Brain - Breast,-1.995955305,0.215415431,0.751485816
STRN3,Brain - Breast,-2.105799482,0.215220803,0.751485816
CHCHD1,Brain - Breast,-1.700159803,0.215280012,0.751485816
FBN1,Brain - Breast,-2.298110479,0.215384743,0.751485816
IFIT2,Brain - Breast,-1.616573236,0.215903944,0.75251226
MSH5,Brain - Breast,-2.106743842,0.21592001,0.75251226
CD14,Brain - Breast,-1.267688776,0.216048273,0.752592695
MOGS,Brain - Breast,-2.308222711,0.216172143,0.752626274
FBXL4,Brain - Breast,2.285148498,0.216268291,0.752626274
ATXN2,Brain - Breast,-1.544174011,0.216694955,0.753744482
LRIT1,Brain - Breast,-2.177158861,0.216902732,0.754100604
DIAPH1,Brain - Breast,-2.087766529,0.217170994,0.754666566
ELK3,Brain - Breast,-1.804276604,0.217690034,0.754828503
FADS2,Brain - Breast,2.126491913,0.217498653,0.754828503
CPNE5,Brain - Breast,-1.646390233,0.217733682,0.754828503
FCHO2,Brain - Breast,1.729269409,0.217340808,0.754828503
EIF2S3,Brain - Breast,-1.408607376,0.217745078,0.754828503
CASK,Brain - Breast,-1.802192861,0.21884844,0.755577689
MLLT10,Brain - Breast,-1.751823316,0.218756554,0.755577689
GOSR1,Brain - Breast,1.796185557,0.218518474,0.755577689
CAP1,Brain - Breast,-0.956875846,0.21814021,0.755577689
GABARAPL2,Brain - Breast,-1.150137513,0.218829767,0.755577689
TXNDC11,Brain - Breast,-1.959839645,0.218911607,0.755577689
DHTKD1,Brain - Breast,-1.761708314,0.218419479,0.755577689
NEK7,Brain - Breast,-1.724867436,0.218677849,0.755577689
DNPH1,Brain - Breast,2.116303781,0.218816837,0.755577689
PKNOX1,Brain - Breast,-2.029119007,0.219248991,0.756122311
PYM1,Brain - Breast,-1.622461397,0.219280754,0.756122311
UXT,Brain - Breast,-1.517997493,0.219478718,0.756134386
HNRNPM,Brain - Breast,0.880256278,0.219495614,0.756134386
PSMD7,Brain - Breast,0.851035643,0.219695014,0.756457087
UBE2G1,Brain - Breast,-1.940769075,0.219950024,0.756606932
CALML5,Brain - Breast,2.435485373,0.219927744,0.756606932
JAK3,Brain - Breast,-2.114748625,0.220712555,0.756701422
UNC119B,Brain - Breast,1.58351831,0.222210539,0.756701422
CARD8,Brain - Breast,-1.537260723,0.221558975,0.756701422
ETV6,Brain - Breast,-1.565503812,0.22214883,0.756701422
NPFF,Brain - Breast,-1.779030282,0.222271272,0.756701422
EED,Brain - Breast,-1.88549565,0.220364032,0.756701422
SLC9A3R1,Brain - Breast,-0.991342095,0.220937665,0.756701422
COX6A1,Brain - Breast,0.253426425,0.221443728,0.756701422
RCAN1,Brain - Breast,-2.231523788,0.220573699,0.756701422
PPA2,Brain - Breast,-1.725546359,0.222304177,0.756701422
PYCARD,Brain - Breast,1.578326532,0.222128552,0.756701422
TPGS2,Brain - Breast,-1.825310545,0.222091691,0.756701422
EFEMP2,Brain - Breast,-2.004299494,0.222272241,0.756701422
PINX1,Brain - Breast,-2.191232319,0.221530987,0.756701422
CHST12,Brain - Breast,-1.935199825,0.221980961,0.756701422
TAS1R3,Brain - Breast,-1.517336032,0.222245288,0.756701422
LURAP1L,Brain - Breast,2.002039374,0.221894793,0.756701422
STK25,Brain - Breast,1.871462725,0.221095599,0.756701422
FAM72B,Brain - Breast,-2.037114009,0.220934706,0.756701422
H2BS1,Brain - Breast,-0.771836481,0.222197263,0.756701422
JPH4,Brain - Breast,-2.094351876,0.220102205,0.756701422
RRM2,Brain - Breast,-2.084706108,0.220488182,0.756701422
BCAP31,Brain - Breast,-1.344207495,0.222507374,0.756753495
CTDNEP1,Brain - Breast,-1.151617523,0.222719301,0.756753495
ITPKB,Brain - Breast,-1.307409227,0.2229179,0.756753495
ZNF669,Brain - Breast,-1.299542823,0.222933293,0.756753495
PGAP3,Brain - Breast,-1.530591286,0.222954069,0.756753495
ODF2L,Brain - Breast,-1.85319215,0.222770184,0.756753495
PROS1,Brain - Breast,-2.086032653,0.226533003,0.757130824
MED15,Brain - Breast,-1.319499584,0.22584872,0.757130824
FAM102B,Brain - Breast,-2.039096031,0.226530289,0.757130824
HTATIP2,Brain - Breast,-1.89320797,0.225892824,0.757130824
