"","DSP-1001660005648-A-C05.dcc","DSP-1001660005648-A-C06.dcc","DSP-1001660005648-A-C07.dcc","DSP-1001660005648-A-C08.dcc","DSP-1001660005648-A-C10.dcc","DSP-1001660005648-A-C12.dcc","DSP-1001660005648-A-D01.dcc","DSP-1001660005648-A-D02.dcc","DSP-1001660005648-A-D03.dcc","DSP-1001660005648-A-D04.dcc","DSP-1001660005648-A-D05.dcc","DSP-1001660005648-A-D06.dcc","DSP-1001660005648-A-D07.dcc","DSP-1001660005648-A-D08.dcc","DSP-1001660005648-A-D09.dcc","DSP-1001660005648-A-D10.dcc","DSP-1001660005648-A-E01.dcc","DSP-1001660005648-A-E02.dcc","DSP-1001660005648-A-E03.dcc","DSP-1001660005648-A-E04.dcc","DSP-1001660005648-A-E06.dcc","DSP-1001660005648-A-E07.dcc","DSP-1001660005649-B-B11.dcc","DSP-1001660005649-B-B12.dcc","DSP-1001660005649-B-C01.dcc","DSP-1001660005649-B-C02.dcc","DSP-1001660005649-B-C05.dcc","DSP-1001660005649-B-C06.dcc","DSP-1001660005649-B-C07.dcc","DSP-1001660005649-B-C08.dcc","DSP-1001660005649-B-C09.dcc","DSP-1001660005649-B-C12.dcc","DSP-1001660005649-B-D01.dcc","DSP-1001660005649-B-D02.dcc","DSP-1001660005649-B-D03.dcc","DSP-1001660005649-B-D04.dcc","DSP-1001660005649-B-D05.dcc","DSP-1001660005649-B-D07.dcc","DSP-1001660005649-B-E09.dcc","DSP-1001660005649-B-E12.dcc","DSP-1001660005649-B-F01.dcc","DSP-1001660005649-B-F02.dcc","DSP-1001660005649-B-F05.dcc","DSP-1001660005649-B-F07.dcc","DSP-1001660005649-B-F09.dcc","DSP-1001660005649-B-F11.dcc","DSP-1001660005649-B-F12.dcc","DSP-1001660005649-B-G01.dcc","DSP-1001660005649-B-G03.dcc","DSP-1001660005649-B-G06.dcc","DSP-1001660005649-B-G07.dcc","DSP-1001660005649-B-G08.dcc","DSP-1001660005649-B-G11.dcc","DSP-1001660005649-B-H01.dcc","DSP-1001660005649-B-H02.dcc","DSP-1001660005649-B-H05.dcc","DSP-1001660005649-B-H06.dcc","DSP-1001660005649-B-H08.dcc","DSP-1001660005649-B-H09.dcc","DSP-1001660005649-B-H12.dcc","DSP-1001660012098-D-A02.dcc","DSP-1001660012098-D-A03.dcc","DSP-1001660012098-D-A06.dcc","DSP-1001660012098-D-A09.dcc","DSP-1001660012098-D-B02.dcc","DSP-1001660012098-D-B03.dcc","DSP-1001660012099-C-E02.dcc","DSP-1001660012099-C-E03.dcc","DSP-1001660012099-C-E04.dcc","DSP-1001660012099-C-E05.dcc","DSP-1001660012099-C-E06.dcc","DSP-1001660012099-C-E07.dcc","DSP-1001660012099-C-E08.dcc","DSP-1001660012099-C-E09.dcc","DSP-1001660012099-C-E10.dcc","DSP-1001660012099-C-E11.dcc","DSP-1001660012099-C-F02.dcc","DSP-1001660012099-C-F03.dcc","DSP-1001660012099-C-F06.dcc","DSP-1001660012099-C-F07.dcc","DSP-1001660012099-C-F08.dcc","DSP-1001660012099-C-F09.dcc","DSP-1001660012099-C-F10.dcc","DSP-1001660012099-C-F11.dcc","DSP-1001660012099-C-G01.dcc","DSP-1001660012099-C-G02.dcc","DSP-1001660012099-C-G03.dcc","DSP-1001660012099-C-G04.dcc","DSP-1001660012099-C-G05.dcc","DSP-1001660012099-C-G06.dcc","DSP-1001660012099-C-G09.dcc","DSP-1001660012099-C-G12.dcc","DSP-1001660012099-C-H07.dcc"
"RPS26",28,49,12,20,23,28,40,16,28,12,25,128,7,16,73,17,8,27,28,8,25,11,9,66,51,94,135,9,63,57,240,23,4,46,130,42,5,11,178,13,50,27,46,26,67,70,59,222,106,19,43,71,54,190,114,36,177,107,157,17,58,57,84,192,38,173,12,22,62,52,144,249,433,13,40,48,30,344,12,30,112,44,79,427,93,24,98,47,64,61,215,112,8
"CPTP",8,1,1,4,4,2,1,3,6,4,5,6,3,3,2,4,1,5,5,3,5,1,2,6,13,4,14,7,12,20,9,1,1,4,10,3,4,3,4,5,11,2,12,1,15,0,3,10,5,3,3,2,28,31,10,7,6,7,9,4,8,8,13,17,7,13,4,2,7,7,18,22,18,9,8,6,10,10,5,13,15,11,18,18,6,12,12,7,7,7,5,9,1
"RPS27",80,86,17,37,33,29,62,32,38,18,59,101,5,27,51,34,19,48,36,11,59,17,76,75,325,133,256,64,55,505,356,56,24,65,209,167,33,40,348,122,119,93,169,36,95,129,111,262,175,123,118,80,197,231,252,86,266,168,290,93,130,155,254,347,139,299,126,134,119,148,330,338,672,43,230,64,110,603,88,283,273,82,183,702,173,159,156,155,129,162,260,221,21
"AP2B1",4,3,0,0,0,6,2,0,4,0,1,6,1,0,2,5,1,2,3,0,2,0,2,4,11,6,13,6,4,17,25,2,2,2,9,4,1,2,2,4,2,1,5,2,2,19,3,4,1,1,1,6,14,16,2,1,5,6,5,0,4,1,23,3,5,4,1,2,2,3,8,9,19,2,3,1,9,11,4,2,7,7,9,19,6,7,1,3,7,15,6,5,0
"ARHGAP5",0,1,0,5,2,3,8,0,2,1,5,4,1,1,2,1,1,2,0,0,1,0,2,1,6,5,8,1,2,7,12,5,1,5,6,3,3,0,4,1,3,0,4,1,3,2,0,2,2,2,3,3,8,11,5,2,8,5,1,1,0,1,11,12,3,5,3,3,4,3,11,7,16,1,10,9,4,17,5,4,2,8,10,11,3,9,19,5,2,7,9,2,2
"RPS28",76,96,7,42,32,37,32,26,50,13,43,160,11,25,68,27,13,29,41,12,35,14,30,52,200,110,218,41,51,233,292,40,11,47,157,125,31,29,219,94,83,59,139,31,73,101,167,249,143,93,59,52,159,209,228,102,261,173,189,103,65,81,219,337,168,188,97,111,93,119,224,231,311,25,185,63,102,630,79,202,210,97,117,431,150,152,169,62,112,144,322,126,19
"SRSF7",1,3,1,0,1,2,2,1,1,3,4,4,2,1,1,1,3,2,0,1,3,6,8,3,9,5,12,11,3,23,15,1,3,7,2,12,1,1,10,6,1,1,18,5,10,3,6,10,6,4,5,4,15,24,8,2,8,11,6,5,8,9,29,17,11,12,5,8,1,9,9,7,27,4,15,3,7,10,2,11,8,5,10,21,7,6,6,5,2,16,11,9,3
"SCMH1",0,3,1,0,0,2,1,0,1,0,3,4,0,0,2,3,0,3,0,6,1,0,1,0,6,1,9,3,4,6,7,0,1,3,8,5,3,1,0,2,4,1,1,1,1,5,0,2,0,0,1,0,3,12,2,8,3,5,0,4,2,1,6,5,8,2,1,1,2,1,8,4,26,2,9,3,6,9,1,2,3,3,6,19,2,5,2,5,2,23,5,0,5
"PLD3",7,6,2,7,2,4,5,1,2,3,4,6,1,7,3,7,2,2,2,3,5,2,1,2,13,10,17,6,4,25,10,10,1,3,6,10,2,4,4,10,11,6,28,5,7,11,7,10,6,7,6,2,15,30,28,4,9,12,10,6,5,1,20,62,17,9,6,4,14,6,15,13,16,4,9,2,18,14,3,14,19,9,12,11,19,8,6,2,6,17,12,27,5
"GASK1B",3,5,4,3,2,1,3,2,3,2,2,3,0,3,0,2,1,1,0,1,3,2,1,1,10,10,12,1,11,12,22,7,0,5,15,5,1,0,0,5,10,1,5,0,6,11,3,2,6,2,4,12,26,24,2,3,10,26,17,3,5,1,35,17,1,6,4,4,4,8,12,27,44,3,8,2,17,2,8,1,9,6,12,10,5,5,2,0,6,14,21,5,3
"ERGIC1",8,20,0,6,5,8,12,4,3,1,7,34,2,2,15,4,2,3,7,4,5,3,1,3,26,8,29,4,6,52,33,6,2,2,18,10,1,5,6,7,5,2,26,2,14,5,4,13,5,1,3,6,39,53,14,4,9,29,10,3,3,2,65,15,6,10,5,2,2,2,15,14,101,13,10,4,11,56,2,14,6,5,66,19,11,3,17,11,8,30,16,8,1
"ALDH3A2",1,0,1,2,0,1,5,2,0,0,12,2,0,2,1,2,0,4,1,0,0,1,1,2,3,2,33,0,5,13,5,6,0,0,3,6,2,5,4,2,1,5,8,3,5,0,1,4,2,1,3,1,14,17,0,2,7,0,5,2,1,5,24,2,3,2,4,4,0,5,6,4,9,2,5,1,5,9,3,0,7,3,2,3,10,6,7,5,7,8,4,5,2
"RPS29",65,77,16,25,32,35,27,21,47,14,72,91,14,27,53,24,12,70,32,12,45,16,51,100,183,105,241,53,55,241,230,49,23,58,154,118,20,27,279,91,112,104,119,32,89,60,85,262,177,93,105,71,126,185,243,74,235,114,209,69,164,173,153,358,103,236,108,91,79,97,202,191,391,51,192,191,110,647,54,143,177,90,163,399,151,155,415,87,86,134,220,165,29
"TFPI",2,5,0,1,1,1,1,2,5,1,0,5,0,2,0,1,0,2,2,1,2,2,4,2,9,0,17,2,4,5,3,1,1,2,3,3,1,1,2,3,1,2,5,3,2,3,3,3,12,8,1,3,3,13,0,4,3,3,9,5,3,2,6,5,4,8,0,0,3,5,4,11,5,3,4,3,2,1,4,3,7,1,3,11,4,4,1,2,9,3,12,7,3
"TMPO",3,0,1,1,2,0,2,0,1,0,1,6,0,3,3,0,1,1,3,2,1,2,3,3,11,8,4,3,1,13,19,1,4,3,7,2,3,0,3,1,6,23,7,1,1,3,2,12,2,2,0,2,4,11,2,3,12,1,3,1,3,3,2,12,1,5,0,2,3,2,20,4,32,1,4,2,4,7,3,3,7,2,9,4,8,3,4,4,4,7,4,2,3
"STK24",4,4,2,1,2,3,1,1,0,0,2,8,0,5,8,0,1,6,2,2,2,1,11,6,15,7,18,11,5,17,33,0,3,1,17,6,4,1,5,4,3,2,10,5,4,4,9,5,6,3,4,6,13,13,11,12,13,7,11,5,8,2,29,15,6,13,6,9,6,9,19,17,12,3,5,3,14,16,6,23,14,6,5,19,5,8,8,5,3,17,1,8,4
"SPINT1",4,1,2,0,0,6,3,0,0,0,0,6,1,1,6,0,2,1,3,1,1,1,1,1,3,3,12,4,1,1,17,1,1,2,6,3,0,1,1,2,3,0,3,0,4,2,6,4,1,0,1,3,19,6,4,1,0,7,5,3,3,2,37,4,10,1,1,3,0,1,8,14,23,1,2,3,2,18,3,8,1,0,6,23,5,5,9,2,6,6,5,5,0
"USP16",2,1,0,0,0,4,1,1,2,1,0,3,3,6,4,0,21,1,0,0,2,1,4,3,9,8,11,4,2,6,24,0,1,1,7,6,0,1,6,3,3,0,8,1,6,3,3,17,1,1,1,5,6,8,8,2,11,5,8,2,3,2,14,15,5,10,3,4,2,3,5,5,21,2,6,4,3,8,3,3,4,6,11,4,6,3,7,3,1,2,7,4,7
"GLUL",26,43,11,30,9,28,36,3,22,11,34,14,21,9,33,32,4,18,2,22,16,15,13,44,80,44,164,19,30,58,102,35,5,14,51,28,6,19,37,54,60,44,151,36,33,56,25,53,44,64,19,20,132,153,183,37,48,84,82,40,64,40,191,335,42,81,28,16,26,40,238,93,105,31,45,26,67,113,26,23,108,61,63,161,139,30,49,32,30,221,29,126,25
"NGRN",2,2,1,1,2,8,4,0,1,0,4,16,2,2,1,1,3,4,1,0,1,1,3,4,9,4,7,2,2,16,16,3,1,4,11,2,0,1,3,5,5,1,7,1,6,4,5,2,1,4,0,7,10,19,4,1,6,11,5,0,5,2,26,4,9,4,7,2,2,5,16,6,18,2,8,7,9,7,9,2,7,5,6,13,9,6,2,10,95,14,4,6,2
"PAIP2",2,6,0,1,1,5,4,1,1,0,3,3,1,2,4,2,0,2,2,2,0,2,3,3,10,9,3,2,5,9,13,2,1,3,7,4,3,0,3,2,4,3,8,3,6,2,4,5,3,12,1,2,14,19,13,0,7,3,5,8,2,5,24,14,5,7,3,2,5,4,9,12,53,0,5,5,7,12,7,5,7,3,11,10,11,5,4,3,8,13,9,8,2
"SAR1B",1,3,1,0,0,0,8,3,0,1,4,9,0,4,3,1,3,1,3,4,3,3,1,1,2,3,17,4,5,13,14,3,1,0,5,4,2,1,3,6,1,4,7,1,5,8,3,21,2,4,4,2,20,17,15,0,23,7,6,6,4,3,56,20,2,9,2,3,2,6,19,20,68,3,4,1,8,12,2,3,6,4,14,38,7,4,3,4,5,22,5,10,0
"CSTF3",2,10,0,5,3,6,1,5,1,1,7,7,0,2,7,2,3,3,6,3,5,2,11,6,11,23,8,10,11,17,57,3,5,7,37,7,4,3,14,6,7,2,15,2,10,7,12,14,9,6,11,2,10,44,13,8,17,13,8,8,5,11,22,25,12,17,5,9,12,5,19,21,68,3,8,9,9,23,5,15,7,10,8,21,7,11,7,20,6,20,6,11,3
"CSTF1",1,2,2,3,1,2,1,1,2,0,1,1,0,2,5,0,0,0,0,2,0,0,1,1,7,12,3,2,2,9,21,3,1,3,13,6,0,1,2,3,0,1,4,2,6,6,4,5,0,3,3,0,16,13,2,4,5,4,4,0,7,1,17,8,4,3,0,5,2,5,4,10,27,3,3,1,5,21,2,5,6,1,6,10,3,8,4,5,3,6,3,6,0
"AMZ2",4,3,1,1,1,5,1,0,3,0,3,5,2,6,4,1,2,0,2,2,1,0,1,4,3,21,12,5,6,14,70,1,1,6,31,8,3,1,4,6,2,3,7,1,6,5,1,10,2,2,2,3,14,20,10,3,8,5,6,6,4,10,20,20,8,11,1,3,7,2,7,12,22,5,8,7,9,18,6,6,6,8,16,19,15,4,7,0,9,3,9,10,0
"DCLRE1C",4,0,1,2,1,3,1,1,2,3,3,5,1,2,0,1,1,1,3,4,1,2,4,3,10,7,10,6,8,6,11,1,2,4,4,4,1,0,5,5,8,2,3,3,7,3,4,5,2,1,6,6,6,24,7,3,5,3,9,2,6,8,1,9,5,11,4,2,2,9,7,12,11,1,7,2,3,14,1,9,7,6,13,5,4,3,5,8,10,8,7,12,4
"ERP29",4,6,0,2,6,6,8,1,4,2,4,7,0,1,10,4,5,4,2,0,7,2,4,5,15,11,43,6,1,15,25,6,0,4,9,5,2,3,10,9,8,4,27,0,11,7,0,38,5,13,12,9,29,29,23,3,31,18,10,4,9,7,43,39,15,18,12,3,8,5,33,14,73,4,16,5,12,22,9,8,18,7,24,27,11,10,5,13,4,12,23,14,2
"NHP2",7,10,1,6,6,3,6,4,4,4,5,21,5,4,7,2,4,2,9,5,5,2,4,4,19,5,9,9,6,39,51,4,2,7,24,20,3,2,8,5,7,6,14,3,18,6,21,26,10,3,4,6,15,56,11,13,24,12,13,11,10,7,40,8,15,16,10,16,5,7,20,17,61,6,15,4,9,37,10,33,13,11,37,29,11,17,14,16,8,21,20,14,4
"ITPRIPL2",2,4,0,2,3,2,4,3,1,1,2,4,0,1,0,3,0,0,1,2,3,0,0,1,10,1,17,0,8,6,3,3,1,4,5,3,2,1,4,5,8,4,13,0,9,4,4,6,4,2,3,5,8,29,16,3,1,5,6,2,5,4,12,1,11,3,4,2,7,6,10,25,53,3,11,2,9,45,1,2,10,1,9,54,8,3,5,4,9,10,13,6,1
"C18orf32",5,2,1,7,6,7,4,4,2,2,7,8,1,2,11,4,3,4,4,2,2,4,5,8,9,9,17,5,2,15,23,2,1,7,7,7,2,4,4,5,4,6,19,2,7,11,3,16,10,3,6,3,21,27,15,6,10,20,3,7,9,11,42,29,10,12,9,6,3,4,24,15,106,4,9,3,6,18,5,10,4,3,21,15,11,9,13,4,15,17,14,2,3
"UFD1",3,4,2,3,0,1,4,1,1,0,4,7,2,2,0,3,1,4,2,4,4,1,2,1,12,5,19,6,2,15,21,2,3,2,5,5,3,7,6,5,8,2,11,1,12,2,11,15,2,1,3,12,9,27,9,6,6,8,5,4,4,5,11,12,11,8,8,6,4,11,3,6,15,3,4,3,6,18,5,6,7,2,14,15,9,1,9,10,8,10,7,5,4
"FAM102A",1,4,0,2,0,1,0,0,1,1,3,9,0,1,5,1,4,2,0,1,1,0,1,1,7,8,6,2,6,6,59,2,1,0,29,7,3,0,12,1,2,2,8,1,3,4,2,6,8,2,2,2,11,19,2,1,4,6,11,1,3,8,14,8,8,11,3,3,1,3,14,11,32,7,1,4,11,5,3,4,7,3,11,6,6,4,4,3,3,19,8,3,2
"RPL38",67,46,11,14,35,53,35,32,23,8,19,145,9,16,58,17,15,21,31,14,40,21,19,48,239,131,438,27,40,346,455,52,9,28,188,98,32,55,168,64,79,61,124,22,44,40,49,177,101,65,41,57,119,128,154,33,162,76,112,47,71,75,188,214,82,133,65,61,64,65,156,160,240,40,121,41,81,302,56,119,130,64,161,232,88,84,90,58,76,172,177,96,11
"EXOC4",3,1,2,3,1,1,3,0,3,1,3,12,2,4,1,2,2,3,0,1,1,0,4,3,9,7,17,3,1,14,16,0,1,0,2,4,1,5,5,2,1,2,9,0,12,4,6,8,4,3,1,2,1,33,9,7,10,11,4,2,5,2,11,10,8,5,7,3,3,5,19,14,17,3,7,4,7,9,2,5,4,7,5,16,8,4,6,4,8,13,6,3,1
"GGPS1",1,3,2,1,0,1,8,2,4,0,0,3,0,5,1,1,0,4,4,2,2,1,1,0,10,8,10,0,7,10,18,2,0,4,5,2,0,1,3,2,2,3,7,1,4,3,0,2,3,4,1,1,5,19,5,2,1,15,2,2,2,1,36,7,5,5,5,5,4,2,13,4,47,0,9,1,2,8,1,9,2,4,12,7,12,5,4,1,5,6,1,3,2
"EIF3B",5,4,4,3,2,5,3,2,5,1,4,13,2,3,7,2,1,3,2,1,3,2,6,1,9,4,11,6,5,9,18,5,2,4,8,10,1,2,3,2,2,2,53,0,10,10,8,12,3,4,2,5,14,25,5,4,15,14,6,2,4,3,14,11,9,16,2,14,1,7,12,14,27,6,13,2,8,38,1,24,11,4,7,11,6,7,8,49,2,14,8,3,1
"AGPAT3",1,1,1,2,0,1,0,0,1,0,1,3,0,0,3,2,3,0,1,2,0,0,4,0,3,13,2,4,0,7,32,0,0,2,20,1,0,1,4,3,4,0,5,1,4,1,1,1,1,3,4,0,9,9,2,1,1,5,6,1,0,1,16,6,1,3,2,1,2,0,8,6,5,2,2,6,3,4,5,9,4,5,3,10,3,0,5,3,2,7,2,1,1
"SIL1",2,1,1,2,2,2,1,0,1,3,4,7,1,1,1,0,3,1,0,1,0,3,0,0,8,3,10,1,5,6,6,0,0,2,6,8,0,2,0,3,2,1,6,2,5,4,0,9,3,3,1,0,12,24,11,2,15,7,3,4,0,3,27,8,5,8,4,1,2,4,15,7,22,0,2,2,8,3,5,2,5,0,9,10,10,1,3,1,3,8,7,3,1
"BTF3",17,15,5,5,11,15,15,5,8,4,12,45,4,3,21,9,8,4,11,3,12,11,8,20,38,40,47,9,14,55,73,12,4,12,41,27,3,6,43,15,22,19,29,11,18,38,35,30,28,16,6,21,60,76,46,14,46,36,36,17,30,33,50,71,31,49,28,27,26,35,79,59,114,18,34,13,28,101,17,32,46,17,64,76,36,40,51,16,33,66,36,27,8
"PARL",2,4,0,0,2,1,3,2,2,1,3,9,1,5,1,1,0,1,0,2,2,1,3,2,14,5,9,3,2,12,8,0,2,1,4,4,1,2,7,3,3,2,15,0,2,3,3,13,4,5,2,3,12,14,2,5,9,2,6,4,3,4,30,10,4,8,2,6,3,4,8,5,33,3,2,3,3,8,3,8,9,3,16,11,1,2,4,8,8,3,7,2,1
"EEF1B2",24,17,1,5,8,9,7,4,7,3,11,22,0,5,19,5,1,9,4,4,12,6,19,23,59,19,65,11,8,112,74,7,1,14,46,35,10,3,62,33,26,15,34,7,26,11,18,119,39,25,13,26,42,63,62,21,124,25,58,26,33,49,50,120,22,54,35,35,20,24,56,59,146,10,79,17,24,231,15,39,44,19,57,76,40,42,26,18,15,45,91,44,9
"SLC38A10",2,3,2,1,0,3,2,0,1,2,4,3,0,1,1,3,0,0,0,2,0,1,2,3,10,7,8,4,2,8,18,2,3,2,23,2,4,1,1,4,7,3,5,2,4,0,4,14,2,2,1,2,9,10,7,1,14,2,5,1,4,3,9,9,2,7,2,3,2,5,10,3,3,3,6,2,7,1,3,4,5,5,5,4,7,2,2,5,2,10,5,2,0
"SCNN1A",1,7,0,1,0,10,10,0,1,0,8,13,1,0,8,0,1,0,3,0,2,1,1,0,5,7,17,1,3,10,22,1,0,1,14,7,1,6,1,5,0,5,6,0,10,26,0,3,0,2,1,6,11,25,1,5,0,43,7,4,0,0,23,2,3,2,1,0,2,3,16,18,28,1,7,3,10,13,6,0,5,0,3,24,8,13,5,1,1,14,4,5,2
"GOLGA6A",0,1,1,0,2,0,3,1,1,0,1,4,0,2,1,0,3,1,3,1,1,3,1,1,2,1,3,1,1,3,5,0,0,0,4,2,3,0,8,1,3,1,9,3,8,4,4,3,3,3,2,1,12,26,5,4,6,3,2,2,4,1,16,10,3,7,2,1,3,3,4,9,11,2,2,2,8,8,3,3,6,1,6,8,3,3,4,2,3,9,3,6,0
"CDC42SE2",1,2,0,2,2,3,2,0,2,1,3,7,0,2,2,2,0,6,2,2,3,4,3,11,7,5,9,2,5,11,10,3,0,9,6,4,2,3,21,6,12,19,19,3,4,7,4,26,14,4,4,3,14,16,17,2,16,4,12,2,18,6,14,29,5,17,13,0,8,9,16,13,22,2,7,3,10,20,9,6,16,5,14,12,16,4,7,7,4,11,14,10,2
"CDC42SE1",6,16,3,4,3,5,5,4,8,2,6,11,3,6,21,1,9,7,6,4,6,6,11,7,28,11,34,10,9,28,33,3,5,6,14,10,3,7,31,6,5,3,12,2,13,17,12,4,17,7,4,10,18,52,18,7,16,19,17,16,12,4,32,33,9,17,11,7,4,15,38,33,69,7,10,6,13,25,10,13,11,15,15,36,16,16,9,14,12,15,10,9,3
"BOLA2B",7,8,1,1,7,6,4,0,0,1,1,12,2,1,4,1,3,0,2,1,3,2,2,1,14,5,13,3,2,16,21,4,1,4,10,11,0,4,4,1,2,0,3,2,6,5,5,17,3,3,2,6,14,21,10,1,29,13,3,3,9,9,23,12,11,4,1,5,1,8,10,9,49,4,3,4,8,35,2,17,7,2,14,22,3,8,18,10,4,11,0,8,2
"SLC25A29",5,4,1,1,1,3,3,4,3,0,3,4,2,1,9,0,0,0,0,0,3,1,2,2,7,6,12,4,2,6,26,0,2,1,11,8,1,2,3,2,0,3,2,1,7,11,3,3,3,2,0,1,15,14,2,3,1,14,4,1,3,0,14,3,5,4,1,24,1,4,26,9,24,2,6,2,3,8,1,9,4,7,6,19,8,3,3,5,5,8,4,2,0
"ATP6V1E1",4,6,2,3,1,2,6,3,2,0,3,5,3,1,0,3,1,2,3,0,1,3,7,4,6,5,3,5,9,9,17,2,0,7,6,3,2,1,8,2,1,4,9,1,9,4,3,13,3,2,3,2,17,33,6,4,7,10,6,2,4,5,36,14,10,6,6,3,1,4,18,13,33,6,6,5,9,29,4,3,10,5,7,20,6,6,5,6,5,6,10,3,1
"SRSF5",15,11,0,5,5,3,9,3,17,2,5,33,5,7,19,6,4,15,7,7,7,11,12,9,38,26,32,16,20,48,53,7,5,11,34,24,10,11,51,27,18,16,55,3,15,36,21,39,27,18,12,8,56,71,46,18,35,42,40,29,25,21,88,61,23,36,21,11,25,27,60,39,101,7,22,5,37,29,18,11,29,20,23,71,28,23,20,22,23,34,27,23,4
"THEMIS2",3,5,0,2,1,2,0,1,2,0,7,5,3,2,2,5,0,5,1,5,4,2,0,1,4,4,14,2,8,5,5,6,1,4,1,3,1,2,12,1,4,3,28,1,8,3,3,17,10,5,2,4,22,29,18,7,14,2,6,0,11,9,9,17,9,15,5,5,6,8,10,5,1,2,6,1,6,5,3,3,18,10,3,3,13,12,1,1,4,4,6,9,4
"ETNK1",5,2,0,4,1,1,1,1,3,0,4,3,0,1,0,2,1,0,0,2,2,1,0,2,18,4,4,4,3,6,8,1,1,0,4,2,5,0,1,1,2,1,2,0,3,3,4,5,1,3,3,3,8,13,5,0,4,4,2,1,4,1,6,3,8,2,3,3,2,7,7,5,6,2,5,1,3,7,1,7,2,0,9,9,5,5,23,75,4,5,1,5,0
"FHL2",1,0,4,1,2,0,1,1,2,1,0,1,2,1,0,1,1,2,0,3,3,0,5,1,2,2,5,8,5,1,15,1,0,4,6,2,1,0,1,3,3,0,6,0,11,4,4,2,1,3,0,2,7,27,3,6,4,5,4,4,1,2,15,1,9,6,5,6,2,5,6,8,18,4,10,0,3,9,5,1,7,9,16,11,5,14,2,5,8,5,8,2,3
"SEC14L1",3,4,0,1,0,1,1,0,3,2,8,2,1,0,1,1,1,2,3,2,2,2,3,7,4,2,13,2,4,10,14,4,1,5,16,5,2,3,4,9,3,4,6,3,11,10,1,21,2,5,2,5,10,11,12,7,14,3,6,4,5,4,11,13,3,8,4,5,3,10,10,14,12,0,3,3,15,6,7,7,6,6,6,5,12,10,5,4,6,8,9,6,4
"CCNL2",4,6,3,0,1,4,7,3,5,2,2,10,2,1,5,1,2,3,0,3,3,3,5,12,10,1,4,5,9,9,13,4,2,4,9,5,4,2,6,5,7,7,6,0,8,15,5,12,9,6,7,1,16,38,5,5,9,12,5,5,7,3,11,12,12,3,7,5,13,14,13,19,15,4,11,5,20,9,9,12,8,5,17,32,15,20,9,4,13,22,4,7,1
"USP9X",1,3,1,3,1,1,4,1,4,1,1,6,1,1,4,0,1,3,0,1,4,4,1,4,1,4,9,1,7,7,27,0,2,4,4,7,1,2,11,2,8,0,8,1,4,3,5,7,2,4,1,3,9,16,8,5,13,13,3,1,5,2,12,12,6,6,3,4,4,4,7,11,35,1,10,1,10,22,6,11,6,3,10,8,5,2,3,5,10,122,13,4,1
"IAH1",1,1,0,1,1,1,0,0,2,2,3,5,0,1,1,2,3,3,0,2,1,3,0,3,5,4,6,0,1,6,10,5,1,2,10,2,3,1,2,2,0,5,5,4,3,2,4,5,1,3,2,1,13,9,3,3,4,6,3,5,1,6,12,4,2,9,1,2,1,5,5,7,9,3,7,3,3,12,3,3,5,4,6,17,5,6,7,2,5,7,6,9,1
"IL18BP",2,2,1,0,2,0,0,1,3,1,3,2,0,2,2,2,4,1,0,1,1,1,0,6,7,3,6,1,2,6,5,1,1,1,5,6,0,0,8,3,6,2,3,6,6,3,6,5,1,4,5,0,3,7,12,4,3,5,6,9,7,4,5,17,6,8,4,1,1,2,1,4,2,2,2,4,8,2,6,3,8,2,3,10,5,3,3,2,3,8,4,6,1
"TNFRSF25",0,6,1,1,1,2,0,1,1,0,2,3,3,3,1,0,1,4,0,0,1,0,1,3,5,2,12,2,6,2,8,1,0,3,5,2,1,3,8,0,1,1,3,1,4,5,4,3,5,2,5,0,6,15,6,4,2,3,6,2,3,2,6,7,8,6,0,1,3,6,5,6,8,5,0,2,3,1,4,9,7,5,5,11,4,7,2,3,2,6,3,6,0
"ENTR1",1,2,0,0,1,2,1,0,1,0,0,4,0,1,0,3,1,0,0,2,1,1,1,1,11,1,5,1,3,18,13,3,0,8,5,5,2,0,4,2,1,5,4,1,6,2,1,0,0,2,3,3,8,6,4,4,8,3,2,2,5,1,7,6,6,8,1,1,4,3,8,6,15,0,11,1,10,7,1,5,3,3,4,7,5,6,5,3,3,4,5,5,3
"DEDD",2,1,4,4,0,0,0,1,4,0,4,6,1,2,4,3,2,1,2,0,3,1,3,0,12,7,7,7,5,8,15,1,2,2,10,1,1,0,4,3,3,5,13,3,3,6,3,3,1,3,2,1,8,11,9,4,5,11,4,5,2,0,23,7,2,6,4,0,4,7,13,11,22,7,5,2,8,10,1,16,10,3,10,21,7,5,4,4,9,17,5,4,2
"CDC42",6,7,2,2,5,9,7,4,5,0,6,15,3,4,4,7,3,9,1,2,4,1,3,10,12,21,13,8,14,24,53,2,0,10,31,10,8,6,18,7,15,8,20,3,10,25,5,16,5,7,10,9,18,35,26,8,16,26,14,9,22,8,33,49,17,23,6,5,5,5,31,21,62,7,18,11,17,21,9,10,18,5,38,45,21,19,12,6,9,18,23,14,2
"GPX4",9,12,7,6,3,10,6,4,8,3,8,22,5,6,17,5,9,8,9,5,3,2,9,12,18,30,18,17,10,21,56,2,3,8,24,12,3,2,10,11,13,5,27,9,33,20,17,14,10,11,6,9,35,82,32,10,18,21,20,6,7,14,41,37,29,20,17,7,10,10,65,35,76,3,26,13,12,100,6,12,16,9,35,57,29,13,17,10,19,26,18,26,5
